access-control.policy-setting.large-branch	ระดับผู้จัดการสาขา สาขาขนาดใหญ่	ระดับผู้จัดการสาขา สาขาขนาดใหญ่	ระดับผู้จัดการสาขา สาขาขนาดใหญ่	ระดับผู้จัดการสาขา สาขาขนาดใหญ่	ระดับผู้จัดการสาขา สาขาขนาดใหญ่
access-control.description-title	คำถามที่พบบ่อย	คำถามที่พบบ่อย	คำถามที่พบบ่อย	คำถามที่พบบ่อย	คำถามที่พบบ่อย
access-control.first-faq	ตั้งค่าระบบ>กรณีตั้งค่ากำหนดสิทธิ์จะเรียงตามลำดับสถานะสิทธิ์ตำแหน่ง	ตั้งค่าระบบ>กรณีตั้งค่ากำหนดสิทธิ์จะเรียงตามลำดับสถานะสิทธิ์ตำแหน่ง	ตั้งค่าระบบ>กรณีตั้งค่ากำหนดสิทธิ์จะเรียงตามลำดับสถานะสิทธิ์ตำแหน่ง	ตั้งค่าระบบ>กรณีตั้งค่ากำหนดสิทธิ์จะเรียงตามลำดับสถานะสิทธิ์ตำแหน่ง	ตั้งค่าระบบ>กรณีตั้งค่ากำหนดสิทธิ์จะเรียงตามลำดับสถานะสิทธิ์ตำแหน่ง
access-control.second-faq	กรณีที่ผู้ดูมีหลายโค้ดที่เข้าข่าย จะเรียงลำดับจากสถานะตั้งค่าที่ไม่ได้กำหนดสิทธิ์	กรณีที่ผู้ดูมีหลายโค้ดที่เข้าข่าย จะเรียงลำดับจากสถานะตั้งค่าที่ไม่ได้กำหนดสิทธิ์	กรณีที่ผู้ดูมีหลายโค้ดที่เข้าข่าย จะเรียงลำดับจากสถานะตั้งค่าที่ไม่ได้กำหนดสิทธิ์	กรณีที่ผู้ดูมีหลายโค้ดที่เข้าข่าย จะเรียงลำดับจากสถานะตั้งค่าที่ไม่ได้กำหนดสิทธิ์	กรณีที่ผู้ดูมีหลายโค้ดที่เข้าข่าย จะเรียงลำดับจากสถานะตั้งค่าที่ไม่ได้กำหนดสิทธิ์
access-control.third-faq	กรณีที่ผู้ดูควบหลายแผนก ตำแหน่ง โค้ดของแต่ละอันจะถูกใช้งาน	กรณีที่ผู้ดูควบหลายแผนก ตำแหน่ง โค้ดของแต่ละอันจะถูกใช้งาน	กรณีที่ผู้ดูควบหลายแผนก ตำแหน่ง โค้ดของแต่ละอันจะถูกใช้งาน	กรณีที่ผู้ดูควบหลายแผนก ตำแหน่ง โค้ดของแต่ละอันจะถูกใช้งาน	กรณีที่ผู้ดูควบหลายแผนก ตำแหน่ง โค้ดของแต่ละอันจะถูกใช้งาน
access-control.permission-btn	ควบคุมสิทธิ์ที่นี่	ควบคุมสิทธิ์ที่นี่	ควบคุมสิทธิ์ที่นี่	ควบคุมสิทธิ์ที่นี่	ควบคุมสิทธิ์ที่นี่
access-control.add-target	ตั้งค่ามาสเตอร์แรงค์ที่นี่	ตั้งค่ามาสเตอร์แรงค์ที่นี่	ตั้งค่ามาสเตอร์แรงค์ที่นี่	ตั้งค่ามาสเตอร์แรงค์ที่นี่	ตั้งค่ามาสเตอร์แรงค์ที่นี่
access-control.family-name	ชื่อ	ชื่อ	ชื่อ	ชื่อ	ชื่อ
access-control.messages.error-regex-half-width					
access-control.character	ตัวอักษร	ตัวอักษร	ตัวอักษร	ตัวอักษร	ตัวอักษร
access-control.confirm-checkbox	เห็นด้วยกับเนื้อหาข้างต้น	เห็นด้วยกับเนื้อหาข้างต้น	เห็นด้วยกับเนื้อหาข้างต้น	เห็นด้วยกับเนื้อหาข้างต้น	เห็นด้วยกับเนื้อหาข้างต้น
access-control.search-placeholder	ค้นหาด้วยหมายเลข ชื่อ	ค้นหาด้วยหมายเลข ชื่อ	ค้นหาด้วยหมายเลข ชื่อ	ค้นหาด้วยหมายเลข ชื่อ	ค้นหาด้วยหมายเลข ชื่อ
access-control.code	โค้ด	โค้ด	โค้ด	โค้ด	โค้ด
access-control.items	10 รายการ	10 รายการ	10 รายการ	10 รายการ	10 รายการ
access-control.items	20 รายการ	20 รายการ	20 รายการ	20 รายการ	20 รายการ
access-control.items	50 รายการ	50 รายการ	50 รายการ	50 รายการ	50 รายการ
access-control.table.code-number	เบอร์โค้ด	เบอร์โค้ด	เบอร์โค้ด	เบอร์โค้ด	เบอร์โค้ด
access-control.table.code-name	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด	ชื่อโค้ด
access-control.table.code-status	สถานะ	สถานะ	สถานะ	สถานะ	สถานะ
access-control.table.no-data	ไม่มีข้อมูล	ไม่มีข้อมูล	ไม่มีข้อมูล	ไม่มีข้อมูล	ไม่มีข้อมูล
access-control.status.invalid	ปิดใช้งาน	ปิดใช้งาน	ปิดใช้งาน	ปิดใช้งาน	ปิดใช้งาน
access-control.status.applied	เปิดใช้งาน	เปิดใช้งาน	เปิดใช้งาน	เปิดใช้งาน	เปิดใช้งาน
access-control.status.applying	กำลังประมวลผล	กำลังประมวลผล	กำลังประมวลผล	กำลังประมวลผล	กำลังประมวลผล
access-control.status.not-applied	การเปลี่ยนแปลงไม่ได้รับการแก้ไข	การเปลี่ยนแปลงไม่ได้รับการแก้ไข	การเปลี่ยนแปลงไม่ได้รับการแก้ไข	การเปลี่ยนแปลงไม่ได้รับการแก้ไข	การเปลี่ยนแปลงไม่ได้รับการแก้ไข
access-control.include-sub-department	รวมถึงแผนกใต้บังคับบัญชา	รวมถึงแผนกใต้บังคับบัญชา	รวมถึงแผนกใต้บังคับบัญชา	รวมถึงแผนกใต้บังคับบัญชา	รวมถึงแผนกใต้บังคับบัญชา
access-control.remove-restriction	ลบการตั้งค่า	ลบการตั้งค่า	ลบการตั้งค่า	ลบการตั้งค่า	ลบการตั้งค่า
access-control.menu-setting	ตั้งค่าเมนู	ตั้งค่าเมนู	ตั้งค่าเมนู	ตั้งค่าเมนู	ตั้งค่าเมนู
access-control.employee-restriction	จำกัดการเข้าถึงข้อมูลพนักงาน	จำกัดการเข้าถึงข้อมูลพนักงาน	จำกัดการเข้าถึงข้อมูลพนักงาน	จำกัดการเข้าถึงข้อมูลพนักงาน	จำกัดการเข้าถึงข้อมูลพนักงาน
access-control.delete2	ลบ	ลบ	ลบ	ลบ	ลบ
access-control.delete-warning	หากทำการลบข้อมูลแล้วจะไม่สามารถคืนค่าได้	หากทำการลบข้อมูลแล้วจะไม่สามารถคืนค่าได้	หากทำการลบข้อมูลแล้วจะไม่สามารถคืนค่าได้	หากทำการลบข้อมูลแล้วจะไม่สามารถคืนค่าได้	หากทำการลบข้อมูลแล้วจะไม่สามารถคืนค่าได้
access-control.toast-msg.deleted-success	ทำการลบเรียบร้อย	ทำการลบเรียบร้อย	ทำการลบเรียบร้อย	ทำการลบเรียบร้อย	ทำการลบเรียบร้อย
access-control.toast-msg.has-error	เกิดข้อผิดพลาด	เกิดข้อผิดพลาด	เกิดข้อผิดพลาด	เกิดข้อผิดพลาด	เกิดข้อผิดพลาด
access-control.start-date	วัน เวลาที่เริ่ม	วัน เวลาที่เริ่ม	วัน เวลาที่เริ่ม	วัน เวลาที่เริ่ม	วัน เวลาที่เริ่ม
access-control.end-date	วัน เวลาที่แล้วเสร็จ	วัน เวลาที่แล้วเสร็จ	วัน เวลาที่แล้วเสร็จ	วัน เวลาที่แล้วเสร็จ	วัน เวลาที่แล้วเสร็จ
access-control.input-placeholder	กรุณากรอก	กรุณากรอก	กรุณากรอก	กรุณากรอก	กรุณากรอก
access-control.select-placeholder	กรุณาเลือก	กรุณาเลือก	กรุณาเลือก	กรุณาเลือก	กรุณาเลือก
access-control.published-info	ปฏิบัติตามข้อมูลที่ออกประกาศ	ปฏิบัติตามข้อมูลที่ออกประกาศ	ปฏิบัติตามข้อมูลที่ออกประกาศ	ปฏิบัติตามข้อมูลที่ออกประกาศ	ปฏิบัติตามข้อมูลที่ออกประกาศ
access-control.by-name	by name	by name	by name	by name	by name
access-control.will-enroll	กำหนดทำงาน	กำหนดทำงาน	กำหนดทำงาน	กำหนดทำงาน	กำหนดทำงาน
access-control.rejoin	กำหนด	กำหนด	กำหนด	กำหนด	กำหนด
access-control.enrollment	ทำงาน	ทำงาน	ทำงาน	ทำงาน	ทำงาน
access-control.job-assignment	ประจำการที่อื่น	ประจำการที่อื่น	ประจำการที่อื่น	ประจำการที่อื่น	ประจำการที่อื่น
access-control.leave	พักงาน	พักงาน	พักงาน	พักงาน	พักงาน
access-control.retire	ลาออก	ลาออก	ลาออก	ลาออก	ลาออก
access-control.paginate	แสดงผลรายการ {จาก}~{ถึง} ของรายการ {ทั้งหมด}	แสดงผลรายการ {จาก}~{ถึง} ของรายการ {ทั้งหมด}	แสดงผลรายการ {จาก}~{ถึง} ของรายการ {ทั้งหมด}	แสดงผลรายการ {จาก}~{ถึง} ของรายการ {ทั้งหมด}	แสดงผลรายการ {จาก}~{ถึง} ของรายการ {ทั้งหมด}
access-control.config-output	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล
access-control.enable	เปิดการใช้งาน	เปิดการใช้งาน	เปิดการใช้งาน	เปิดการใช้งาน	เปิดการใช้งาน
access-control.disable	ปิดการใช้งาน	ปิดการใช้งาน	ปิดการใช้งาน	ปิดการใช้งาน	ปิดการใช้งาน
access-control.update-auth-setting	ขณะนี้กำลังอัพเดทการตั้งค่าสิทธิ์ตำแหน่ง	ขณะนี้กำลังอัพเดทการตั้งค่าสิทธิ์ตำแหน่ง	ขณะนี้กำลังอัพเดทการตั้งค่าสิทธิ์ตำแหน่ง	ขณะนี้กำลังอัพเดทการตั้งค่าสิทธิ์ตำแหน่ง	ขณะนี้กำลังอัพเดทการตั้งค่าสิทธิ์ตำแหน่ง
access-control.not-any-changes	การเปลี่ยนแปลงไม่สำเร็จ กรุณา"เปิดการใช้งาน"จาก 3 Point leader ด้านขวาบนจอ	การเปลี่ยนแปลงไม่สำเร็จ กรุณา"เปิดการใช้งาน"จาก 3 Point leader ด้านขวาบนจอ	การเปลี่ยนแปลงไม่สำเร็จ กรุณา"เปิดการใช้งาน"จาก 3 Point leader ด้านขวาบนจอ	การเปลี่ยนแปลงไม่สำเร็จ กรุณา"เปิดการใช้งาน"จาก 3 Point leader ด้านขวาบนจอ	การเปลี่ยนแปลงไม่สำเร็จ กรุณา"เปิดการใช้งาน"จาก 3 Point leader ด้านขวาบนจอ
access-control.executor	ผู้ปฏิบัติ	ผู้ปฏิบัติ	ผู้ปฏิบัติ	ผู้ปฏิบัติ	ผู้ปฏิบัติ
access-control.group-setting-desc	การตั้งค่ากลุ่มที่เป็นกลุ่มเป้าหมาย หากกำหนดค่าผู้ปฏิบัติเป็น "ปฏิบัติตามข้อมูลที่ออกประกาศ"  เป้าหมายจะมีการเปลี่ยนแปลงตามการออกประกาศโดยอัตโนมัติ	การตั้งค่ากลุ่มที่เป็นกลุ่มเป้าหมาย หากกำหนดค่าผู้ปฏิบัติเป็น "ปฏิบัติตามข้อมูลที่ออกประกาศ"  เป้าหมายจะมีการเปลี่ยนแปลงตามการออกประกาศโดยอัตโนมัติ	การตั้งค่ากลุ่มที่เป็นกลุ่มเป้าหมาย หากกำหนดค่าผู้ปฏิบัติเป็น "ปฏิบัติตามข้อมูลที่ออกประกาศ"  เป้าหมายจะมีการเปลี่ยนแปลงตามการออกประกาศโดยอัตโนมัติ	การตั้งค่ากลุ่มที่เป็นกลุ่มเป้าหมาย หากกำหนดค่าผู้ปฏิบัติเป็น "ปฏิบัติตามข้อมูลที่ออกประกาศ"  เป้าหมายจะมีการเปลี่ยนแปลงตามการออกประกาศโดยอัตโนมัติ	การตั้งค่ากลุ่มที่เป็นกลุ่มเป้าหมาย หากกำหนดค่าผู้ปฏิบัติเป็น "ปฏิบัติตามข้อมูลที่ออกประกาศ"  เป้าหมายจะมีการเปลี่ยนแปลงตามการออกประกาศโดยอัตโนมัติ
access-control.target-setting-desc	ผู้ปฏิบัติตั้งค่าพนักงานคนไหนสามารถดู แก้ไขได้หรือไม่ได้ ออกประกาศได้หรือไม่ได้  การสามารถเข้าถึงข้อมูลพนักงานคนไหน(:บุคคลเป้าหมาย) ให้กำหนดโดยข้อมูลออกประกาศเช่น แผนก ตำแหน่งเป็นต้น หรือกำหนดด้วย by name	ผู้ปฏิบัติตั้งค่าพนักงานคนไหนสามารถดู แก้ไขได้หรือไม่ได้ ออกประกาศได้หรือไม่ได้  การสามารถเข้าถึงข้อมูลพนักงานคนไหน(:บุคคลเป้าหมาย) ให้กำหนดโดยข้อมูลออกประกาศเช่น แผนก ตำแหน่งเป็นต้น หรือกำหนดด้วย by name	ผู้ปฏิบัติตั้งค่าพนักงานคนไหนสามารถดู แก้ไขได้หรือไม่ได้ ออกประกาศได้หรือไม่ได้  การสามารถเข้าถึงข้อมูลพนักงานคนไหน(:บุคคลเป้าหมาย) ให้กำหนดโดยข้อมูลออกประกาศเช่น แผนก ตำแหน่งเป็นต้น หรือกำหนดด้วย by name	ผู้ปฏิบัติตั้งค่าพนักงานคนไหนสามารถดู แก้ไขได้หรือไม่ได้ ออกประกาศได้หรือไม่ได้  การสามารถเข้าถึงข้อมูลพนักงานคนไหน(:บุคคลเป้าหมาย) ให้กำหนดโดยข้อมูลออกประกาศเช่น แผนก ตำแหน่งเป็นต้น หรือกำหนดด้วย by name	ผู้ปฏิบัติตั้งค่าพนักงานคนไหนสามารถดู แก้ไขได้หรือไม่ได้ ออกประกาศได้หรือไม่ได้  การสามารถเข้าถึงข้อมูลพนักงานคนไหน(:บุคคลเป้าหมาย) ให้กำหนดโดยข้อมูลออกประกาศเช่น แผนก ตำแหน่งเป็นต้น หรือกำหนดด้วย by name
access-control.activate-code	เปิดใช้งานโค้ด	เปิดใช้งานโค้ด	เปิดใช้งานโค้ด	เปิดใช้งานโค้ด	เปิดใช้งานโค้ด
access-control.activate-status-desc	เปิดการใช้งาน หากเปิดการใช้งานแล้วการตั้งค่ากำหนดสิทธิ์ดูข้อมูลพนักงานจะถูกใช้ที่ผู้ปฏิบัติ	เปิดการใช้งาน หากเปิดการใช้งานแล้วการตั้งค่ากำหนดสิทธิ์ดูข้อมูลพนักงานจะถูกใช้ที่ผู้ปฏิบัติ	เปิดการใช้งาน หากเปิดการใช้งานแล้วการตั้งค่ากำหนดสิทธิ์ดูข้อมูลพนักงานจะถูกใช้ที่ผู้ปฏิบัติ	เปิดการใช้งาน หากเปิดการใช้งานแล้วการตั้งค่ากำหนดสิทธิ์ดูข้อมูลพนักงานจะถูกใช้ที่ผู้ปฏิบัติ	เปิดการใช้งาน หากเปิดการใช้งานแล้วการตั้งค่ากำหนดสิทธิ์ดูข้อมูลพนักงานจะถูกใช้ที่ผู้ปฏิบัติ
access-control.disable-code	ปิดการใช้งานโค้ด	ปิดการใช้งานโค้ด	ปิดการใช้งานโค้ด	ปิดการใช้งานโค้ด	ปิดการใช้งานโค้ด
access-control.disable-status-desc	ปิดการใช้งาน หากปิดการใช้งานแล้วการตั้งค่าจะไม่ถูกใช้งาน	ปิดการใช้งาน หากปิดการใช้งานแล้วการตั้งค่าจะไม่ถูกใช้งาน	ปิดการใช้งาน หากปิดการใช้งานแล้วการตั้งค่าจะไม่ถูกใช้งาน	ปิดการใช้งาน หากปิดการใช้งานแล้วการตั้งค่าจะไม่ถูกใช้งาน	ปิดการใช้งาน หากปิดการใช้งานแล้วการตั้งค่าจะไม่ถูกใช้งาน
access-control.toast-msg.changed-success	เปลี่ยนแปลงแล้ว	เปลี่ยนแปลงแล้ว	เปลี่ยนแปลงแล้ว	เปลี่ยนแปลงแล้ว	เปลี่ยนแปลงแล้ว
access-control.remove-code	ลบโค้ด	ลบโค้ด	ลบโค้ด	ลบโค้ด	ลบโค้ด
access-control.remove-status-desc	ลบ โค้ดที่ลบแล้วจะไม่สามารถคืนค่าได้	ลบ โค้ดที่ลบแล้วจะไม่สามารถคืนค่าได้	ลบ โค้ดที่ลบแล้วจะไม่สามารถคืนค่าได้	ลบ โค้ดที่ลบแล้วจะไม่สามารถคืนค่าได้	ลบ โค้ดที่ลบแล้วจะไม่สามารถคืนค่าได้
access-control.self	ตนเอง	ตนเอง	ตนเอง	ตนเอง	ตนเอง
access-control.edit	แก้ไข	แก้ไข	แก้ไข	แก้ไข	แก้ไข
access-control.editable-desc	ผู้ปฏิบัติตั้งค่าให้ตนเองสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ตนเองสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ตนเองสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ตนเองสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ตนเองสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้
access-control.others	ผู้อื่น	ผู้อื่น	ผู้อื่น	ผู้อื่น	ผู้อื่น
access-control.refer-instruction	ผู้ปฏิบัติตั้งค่าให้ผู้อื่นสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ผู้อื่นสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ผู้อื่นสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ผู้อื่นสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้	ผู้ปฏิบัติตั้งค่าให้ผู้อื่นสามารถดู แก้ไขข้อมูลพนักงานคนอื่นได้ ออกประกาศได้
access-control.setting-by-announcement	รายการการตั้งค่า(ตามข้อมูลประกาศ)	รายการการตั้งค่า(ตามข้อมูลประกาศ)	รายการการตั้งค่า(ตามข้อมูลประกาศ)	รายการการตั้งค่า(ตามข้อมูลประกาศ)	รายการการตั้งค่า(ตามข้อมูลประกาศ)
access-control.setting-by-individual	รายการการตั้งค่า(รายบุคคล)	รายการการตั้งค่า(รายบุคคล)	รายการการตั้งค่า(รายบุคคล)	รายการการตั้งค่า(รายบุคคล)	รายการการตั้งค่า(รายบุคคล)
access-control.conflict-condition	กรณีตั้งค่า "ตามข้อมูลประกาศ" ซ้ำซ้อนกันจะเรียงตาม "รายบุคคล" ก่อน	กรณีตั้งค่า "ตามข้อมูลประกาศ" ซ้ำซ้อนกันจะเรียงตาม "รายบุคคล" ก่อน	กรณีตั้งค่า "ตามข้อมูลประกาศ" ซ้ำซ้อนกันจะเรียงตาม "รายบุคคล" ก่อน	กรณีตั้งค่า "ตามข้อมูลประกาศ" ซ้ำซ้อนกันจะเรียงตาม "รายบุคคล" ก่อน	กรณีตั้งค่า "ตามข้อมูลประกาศ" ซ้ำซ้อนกันจะเรียงตาม "รายบุคคล" ก่อน
access-control.retired-people	ผู้ลาออก	ผู้ลาออก	ผู้ลาออก	ผู้ลาออก	ผู้ลาออก
access-control.access-instruction	ผู้ปฏิบัติกรุณาตั้งค่าว่าสามารถเข้าถึงข้อมูลพนักงานที่ลาออกได้หรือไม่	ผู้ปฏิบัติกรุณาตั้งค่าว่าสามารถเข้าถึงข้อมูลพนักงานที่ลาออกได้หรือไม่	ผู้ปฏิบัติกรุณาตั้งค่าว่าสามารถเข้าถึงข้อมูลพนักงานที่ลาออกได้หรือไม่	ผู้ปฏิบัติกรุณาตั้งค่าว่าสามารถเข้าถึงข้อมูลพนักงานที่ลาออกได้หรือไม่	ผู้ปฏิบัติกรุณาตั้งค่าว่าสามารถเข้าถึงข้อมูลพนักงานที่ลาออกได้หรือไม่
access-control.enroll-classification	ประเภทการทำงาน	ประเภทการทำงาน	ประเภทการทำงาน	ประเภทการทำงาน	ประเภทการทำงาน
access-control.employee-info	ข้อมูลพนักงาน	ข้อมูลพนักงาน	ข้อมูลพนักงาน	ข้อมูลพนักงาน	ข้อมูลพนักงาน
access-control.configured	ตั้งค่าแล้วเสร็จ	ตั้งค่าแล้วเสร็จ	ตั้งค่าแล้วเสร็จ	ตั้งค่าแล้วเสร็จ	ตั้งค่าแล้วเสร็จ
access-control.not-set	ยังไม่ได้ตั้งค่า	ยังไม่ได้ตั้งค่า	ยังไม่ได้ตั้งค่า	ยังไม่ได้ตั้งค่า	ยังไม่ได้ตั้งค่า
access-control.allow	อนุมัติ	อนุมัติ	อนุมัติ	อนุมัติ	อนุมัติ
access-control.restriction	จำกัด	จำกัด	จำกัด	จำกัด	จำกัด
access-control.remove-restriction-desc	ลบการตั้งค่าของ  การตั้งค่าที่ลบไปแล้วไม่สามารคืนค่าได้	ลบการตั้งค่าของ  การตั้งค่าที่ลบไปแล้วไม่สามารคืนค่าได้	ลบการตั้งค่าของ  การตั้งค่าที่ลบไปแล้วไม่สามารคืนค่าได้	ลบการตั้งค่าของ  การตั้งค่าที่ลบไปแล้วไม่สามารคืนค่าได้	ลบการตั้งค่าของ  การตั้งค่าที่ลบไปแล้วไม่สามารคืนค่าได้
access-control.target-spec	กำหนดเป้าหมาย	กำหนดเป้าหมาย	กำหนดเป้าหมาย	กำหนดเป้าหมาย	กำหนดเป้าหมาย
access-control.list-people-desc	ข้อมูลด้านล่างครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างครอบคลุมถึงคนที่กำหนด
access-control.project	หัวข้อ	หัวข้อ	หัวข้อ	หัวข้อ	หัวข้อ
access-control.value	ค่า	ค่า	ค่า	ค่า	ค่า
access-control.delete	ลบ	ลบ	ลบ	ลบ	ลบ
access-control.add-item	เพิ่มหัวข้อ	เพิ่มหัวข้อ	เพิ่มหัวข้อ	เพิ่มหัวข้อ	เพิ่มหัวข้อ
access-control.exclude-spec	กำหนดไม่ใช่เป้าหมาย	กำหนดไม่ใช่เป้าหมาย	กำหนดไม่ใช่เป้าหมาย	กำหนดไม่ใช่เป้าหมาย	กำหนดไม่ใช่เป้าหมาย
access-control.exclude-desc	ข้อมูลด้านล่างไม่ครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างไม่ครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างไม่ครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างไม่ครอบคลุมถึงคนที่กำหนด	ข้อมูลด้านล่างไม่ครอบคลุมถึงคนที่กำหนด
access-control.include-subordinates	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา
access-control.not-include-sub	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา
access-control.enter-department	กรุณากรอกแผนก	กรุณากรอกแผนก	กรุณากรอกแผนก	กรุณากรอกแผนก	กรุณากรอกแผนก
access-control.no-setting	ไม่มีการกำหนดค่า	ไม่มีการกำหนดค่า	ไม่มีการกำหนดค่า	ไม่มีการกำหนดค่า	ไม่มีการกำหนดค่า
access-control.by-affiliate-department	แผนกสังกัดของตนเอง	แผนกสังกัดของตนเอง	แผนกสังกัดของตนเอง	แผนกสังกัดของตนเอง	แผนกสังกัดของตนเอง
access-control.by-manager-department	แผนกสังกัดของหัวหน้า	แผนกสังกัดของหัวหน้า	แผนกสังกัดของหัวหน้า	แผนกสังกัดของหัวหน้า	แผนกสังกัดของหัวหน้า
access-control.include-sub	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา	รวมผู้ใต้บังคับบัญชา
access-control.not-include-sub	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา	ไม่รวมผู้ใต้บังคับบัญชา
access-control.list-executor	รายการผู้ปฏิบัติ	รายการผู้ปฏิบัติ	รายการผู้ปฏิบัติ	รายการผู้ปฏิบัติ	รายการผู้ปฏิบัติ
access-control.re-check	ตรวจสอบผู้ปฏิบัติ	ตรวจสอบผู้ปฏิบัติ	ตรวจสอบผู้ปฏิบัติ	ตรวจสอบผู้ปฏิบัติ	ตรวจสอบผู้ปฏิบัติ
access-control.output	ส่งออก	ส่งออก	ส่งออก	ส่งออก	ส่งออก
access-control.export-data	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล	ส่งออกข้อมูล
access-control.deploy	แผนก	แผนก	แผนก	แผนก	แผนก
access-control.post	ตำแหน่ง	ตำแหน่ง	ตำแหน่ง	ตำแหน่ง	ตำแหน่ง
